Date,IBOV
2025-04-01,131147.0
2025-04-02,131190.0
2025-04-03,131141.0
2025-04-04,127256.0
2025-04-07,125588.0
2025-04-08,123932.0
2025-04-09,127796.0
2025-04-10,126355.0
2025-04-11,127682.0
2025-04-14,129454.0
2025-04-15,129245.0
2025-04-16,128317.0
2025-04-17,129650.0
2025-04-22,130464.0
2025-04-23,132216.0
2025-04-24,134580.0
2025-04-25,134739.0
2025-04-28,135016.0
2025-04-29,135093.0
2025-04-30,135067.0
2025-05-02,135134.0
2025-05-05,133491.0
2025-05-06,133516.0
2025-05-07,133398.0
2025-05-08,136232.0
2025-05-09,136512.0
2025-05-12,136563.0
2025-05-13,138963.0
2025-05-14,138423.0
2025-05-15,139334.0
2025-05-16,139187.0
2025-05-19,139636.0
2025-05-20,140110.0
2025-05-21,137881.0
2025-05-22,137273.0
2025-05-23,137824.0
2025-05-26,138136.0
2025-05-27,139541.0
2025-05-28,138888.0
2025-05-29,138534.0
2025-05-30,137027.0
2025-06-02,136787.0
2025-06-03,137546.0
2025-06-04,137002.0
2025-06-05,136236.0
2025-06-06,136102.0
2025-06-09,135699.0
2025-06-10,136436.0
2025-06-11,137128.0
2025-06-12,137800.0
2025-06-13,137213.0
2025-06-16,139256.0
2025-06-17,138840.0
2025-06-18,138717.0
2025-06-20,137116.0
2025-06-23,136551.0
2025-06-24,137165.0
2025-06-25,135767.0
2025-06-26,137114.0
2025-06-27,136866.0
